name,ra,dec,spect_type,vmag
HIP 32759,102.4602729,-32.50848752,B1.5IVne, 3.50
HIP 13147,42.27233113,-32.40628403,G8III, 4.45
HIP 111188,337.8762065,-32.34602798,A1V, 4.29
HIP 103738,315.322757,-32.25776681,G8III, 4.67
HIP 105140,319.4843606,-32.17248551,A0V, 4.71
HIP 98842,301.0815124,-32.05626941,K1III/IV, 4.99
HIP 17304,55.56207975,-31.93839587,B5III, 4.99
HIP 67786,208.3022846,-31.92758624,B4IV, 4.75
HIP 56343,173.2510794,-31.85752405,G8III, 3.54
HIP 87220,267.2936388,-31.70318435,B8Ib/II, 4.79
HIP 74604,228.6555245,-31.51912564,F3III, 4.91
HIP 51172,156.7881495,-31.06780228,K4III, 4.28
HIP 36514,112.677542,-30.96228313,G2Ib..., 4.65
